place_name,address_name,road_address_name,x,y
이디야커피 천호중앙점,서울 강동구 천호동 427-3,서울 강동구 올림픽로 660,127.12442356443455,37.5402694425218
이디야커피 고덕점,서울 강동구 명일동 47-4,서울 강동구 동남로75길 19,127.155157924629,37.5541444697912
이디야커피 천호현대점,서울 강동구 천호동 432-5,서울 강동구 올림픽로 665,127.123982293139,37.5409618741529
CU 고덕아르테온1상가점,서울 강동구 상일동 520,서울 강동구 고덕로 390,127.168769085047,37.5566765206248
스탁,서울 강동구 고덕동 186-6,서울 강동구 상일로21길 17,127.169757984445,37.5595591918325
CU 고덕아르테온점,서울 강동구 상일동 519,서울 강동구 고덕로80길 20,127.165292353785,37.5556552039511
CU 명일우량점,서울 강동구 명일동 48-12,서울 강동구 동남로71길 38,127.15405454993488,37.55196730340989
CU ATM 명일우량점,서울 강동구 명일동 48-12,서울 강동구 동남로71길 38,127.154067150465,37.55204116875
옛날통닭,서울 강동구 상일동 520,서울 강동구 고덕로 390,127.16877815121741,37.556681913644034
옛날통닭,서울 강동구 천호동 287-3,서울 강동구 상암로 44,127.128296928408,37.5496464959306
옛날통닭,서울 강동구 강일동 366-7,서울 강동구 아리수로97길 20,127.177713612106,37.5668095076128
옛날통닭 천호본점,서울 강동구 천호동 237-66,서울 강동구 구천면로 298,127.13412549246,37.5461873941837
예통옛날통닭 명일점,서울 강동구 명일동 312-86,서울 강동구 양재대로 1631,127.14380473065941,37.55127745349325
옛날산골통닭 성내점,서울 강동구 성내동 283-17,서울 강동구 풍성로39길 37,127.127300027817,37.5330547731964
옛날산골통닭,서울 강동구 암사동 488-30,서울 강동구 구천면로 323,127.1355338124,37.5484040437858
예통옛날통닭 천호점,서울 강동구 천호동 397-63,서울 강동구 구천면로 248,127.131242168881,37.5423001214663
쌍문동맥주다방 강동구청점,서울 강동구 성내동 557-5,서울 강동구 성안로3길 124,127.123405864062,37.5283061269421
이레,서울 강동구 암사동 505-7,서울 강동구 고덕로 32,127.128635878726,37.5545980097749
이레자원,서울 강동구 천호동 397-399,서울 강동구 구천면로 246,127.131199028574,37.5422190794905
이레정형외과의원,서울 강동구 강일동 722,서울 강동구 고덕로 433,127.17388765637756,37.55750521783245
강동이레약국,서울 강동구 성내동 380-16,서울 강동구 양재대로103길 5,127.137545391065,37.532758568853
이레,서울 강동구 고덕동 217,서울 강동구 고덕로 353,127.16456328339,37.5570933118261
이레안과의원,서울 강동구 천호동 401-5,서울 강동구 구천면로 233,127.130138907321,37.5416400091432
이레약국,서울 강동구 암사동 503-23,서울 강동구 올림픽로 787,127.12778414169046,37.55154635535304
이레빌라,서울 강동구 성내동 438-28,서울 강동구 양재대로87길 37,127.132971170039,37.52574140583
이레수선,서울 강동구 성내동 145-1,서울 강동구 천호대로162길 45-6,127.128380140394,37.5348195646502
이레엘림빌,서울 강동구 성내동 502-3,서울 강동구 성안로13길 28-14,127.131156565332,37.5321882956448
이레미용실,서울 강동구 암사동 469,서울 강동구 고덕로14길 57,127.131261724204,37.5521624269885
이레찬,서울 강동구 고덕동 217,서울 강동구 고덕로 353,127.164512443604,37.5571339275134
이레반찬,서울 강동구 암사동 414-18,서울 강동구 고덕로 133,127.140348141983,37.5552514066515
서울이레소망치과의원,서울 강동구 강일동 722,서울 강동구 고덕로 433,127.173887656378,37.5575052178324
이레인테리어,서울 강동구 천호동 305-14,서울 강동구 천중로15나길 19,127.129483229123,37.546570094255
최가네순대국,서울 강동구 암사동 464-2,서울 강동구 고덕로10길 49,127.12965745633379,37.55242729078899
